sortOrder,titulo,categorias,referencia,preco,id,
,Saboneteira Reservatório Box 400ml - Clear Black,Dispensers / Sabonete Líquido / Dispenser Plástico,CMILICL400BB,,product-1717,
,Reservatório p/ Saboneteira Espuma,Dispensers / Sabonete Líquido / Sabonete Espuma / Dispenser Plástico,CMIC19121,,product-267,
,Secador de Mãos Aço Inox Speedy Plus,Dispensers / Secador de Mãos,CMI1047,,product-371,
,Secador de Mãos Adler,Dispensers / Secador de Mãos,CMI5816,,product-2205,
,Secador De Mãos Panther Sm5a Inox,Dispensers / Secador de Mãos,CMI2209,,product-2209,
,Secador de mãos AIRES,Dispensers / Secador de Mãos / Dispenser Plástico,CMI2382,,product-2207,
,Secador de Mãos Speedy Plástico 110v ou 220v,Dispensers / Secador de Mãos / Dispenser Plástico,CMI539,,product-365,
,Kit Plus p/ Limpeza de Vidros,Equipamentos de Limpeza,CMIKT904,,product-299,
,Mop Profissional Spray Pro,Equipamentos de Limpeza,CMIPSM85,,product-731,
,Balde com Tela Plástica e Tampa para Fechamento,Equipamentos de Limpeza / Baldes,CMIBF200,,product-291,
,Balde Espremedor 2 Águas 33L - BE33PF,Equipamentos de Limpeza / Baldes,CMIBE33PF,,product-1809,
,Balde Espremedor Doblô 20L Standard B20S,Equipamentos de Limpeza / Baldes,CMIB20S,,product-321,
,Balde Espremedor Doblô 30 Litros NY108,Equipamentos de Limpeza / Baldes,CMINY108,,product-221,
,Balde Espremedor Doblô Flex 20 Litros B20F,Equipamentos de Limpeza / Baldes,CMIB20F,,product-315,
,Balde Mopinho 12 Litros - Azul - BE50AZ,Equipamentos de Limpeza / Baldes,CMIBE50AZ,,product-249,
,"Balde Plástico com Centrífuga em Inox, Mop e Cabo 360º Mop Pro 380898",Equipamentos de Limpeza / Baldes,CMI380898,,product-727,
,"Conjunto de Limpeza Mopinho - Balde, Mop (bruxa) e Cabo",Equipamentos de Limpeza / Baldes,CMICJ50AZ,,product-311,
,Kit Balde Espremedor Doblô Flex 20 Litros,Equipamentos de Limpeza / Baldes,CMI2129,,product-2129,
,Kit Profissional - Balde Espremedor Completo para Limpeza NYKT01 - KIT 1,Equipamentos de Limpeza / Baldes,CMINYKT01,,product-309,
,Kit Profissional Balde Espremedor 50L Completo para Limpeza NYKT02 - KIT 2,Equipamentos de Limpeza / Baldes,CMINYKT02,,product-307,
,Conjunto Balde Espremedor Doblô 50 litros NY104,Equipamentos de Limpeza / Baldes / Acessórios,CMINY104,,product-231,
,Carro Cuba 400L + Tampa,Equipamentos de Limpeza / Carro Cuba,CMICT400,,product-199,
,Carro Cuba 400L C400,Equipamentos de Limpeza / Carro Cuba,CMIC400,,product-193,
