sortOrder,titulo,categorias,referencia,preco,id,
1150,Dispenser para Copos Descartáveis em Acrílico - Água,Dispensers / Dispenser Copos,CMIMSP025,,product-1851,
1160,Dispenser para copos descartáveis em acrílico - Café - MSP026,Dispenser Copos / Dispensers,CMIMSP026,,product-1849,
1170,Dispenser para Fio Dental + Refil,Dispenser Plástico,CMIMFPERS.MF400,,product-737,
1180,Dispenser para Fio Dental Personal,Dispensers,CMImfpers,,product-1329,
1190,Dispenser para Papel Higiênico Rolão 400m em Aço com Pintura Epoxi Branco,Papel Higiênico Rolão / Dispensers,CMI595,,product-333,
1200,Dispenser para Papel Higiênico Rolão Dark,Dispenser Plástico / Papel Higiênico Rolão,CMIC19434,,product-75,
1210,Dispenser para Papel Toalha Interfolhado Dark,Dispenser Plástico / Papel Toalha Interfolhado,CMIC19530,,product-87,
1220,Dispenser para Papel Toalha Interfolhado ou Higienico Cai Cai - Urban Glass Verde,Papel Toalha Interfolhado,CMIC19285,,product-51,
1230,Dispenser para Sabonete Líquido 400ml Compacta Urban,Dispensers / Sabonete Líquido / Dispenser Plástico,CMIC19302,,product-1523,
1240,Dispenser para Sabonete Líquido 400ml Cristal Infinity Midy Box,Sabonete Líquido,CMILICL400,,product-1631,
1250,Dispenser para Sabonete Líquido com Reservatório Dark,Dispenser Plástico / Sabonete Líquido,CMIC19423C19120,,product-71,
1260,Dispenser Poupa Copos p/ Copos de Café Descartáveis 50 ml 32324,Dispenser Copos / Dispenser Plástico / Dispensers,CMI32298,,product-1263,
1270,Dispenser Sabonete Líquido ou Álcool Gel C19428,Dispensers / Sabonete Líquido / Dispenser Plástico,CMIC19428,,product-109,
1280,Embalador de Guarda Chuva em Inox,Dispensers,CMI17124,,product-1765,
1290,Embalador de Guarda Chuva em Inox,Dispensers,CMI2193,,product-2193,
1300,Escova Aérea p/ Tubo - ET603,Acessórios para Reposição,CMIET603,,product-1779,
1310,Escova Suporte LT Limpeza Pesada,Acessórios,CMISE60xx,,product-277,
1320,Escova Suporte LT Macia,Acessórios,CMISE70xx,,product-279,
1330,Espanador Eletrostático Cabo Simples,Acessórios,CMIEE605AZ,,product-145,
1340,Estrutura Metálica para Fixação de Coletores 50L,,CMIETM50,,product-1327,
1350,Extensão Telescópica,Cabos,CMIEX,,product-331,
1360,Guia Removível GRXXX,Acessórios,CMIGRXXX,,product-1871,
1370,"Haste Euro p/ Mop Úmido Garra em Plástico Azul c/ Cabo de Aluminio Fosco 1,40cm",Acessórios,CMIHE211,,product-1551,
1380,indisponivel ls52,,CMILS52,,product-153,
1390,Kit Balde Espremedor Doblô Flex 20 Litros,Equipamentos de Limpeza / Baldes,CMI2129,,product-2129,
1400,Kit de Dispenser em aço inox - LINHA NOBLE,Dispenser Inox,CMIKT3,,product-1763,
1410,Kit de Dispenser em aço inox - LINHA NOBLE - saboneteira Slim,Dispensers,CMI2187,,product-2187,
1420,Kit de Dispenser em aço inox - Linha Quadra,Dispenser Inox,,,product-2185,
1430,Kit de Dispenser Plástico Linha Ag+ Rolão,Dispenser Plástico,CMIKTAGRMAIS,,product-1405,
1440,Kit Dispenser Linha Ag+ Cai Cai,Dispenser Plástico,CMIKTAGMAIS,,product-1401,
1450,Kit Master p/ Limpeza de Vidros,,CMIKT903,,product-297,
1460,Kit Plus p/ Limpeza de Vidros,Equipamentos de Limpeza,CMIKT904,,product-299,
1470,Kit Profissional - Balde Espremedor Completo para Limpeza NYKT01 - KIT 1,Equipamentos de Limpeza / Baldes,CMINYKT01,,product-309,
1480,Kit Profissional Balde Espremedor 50L Completo para Limpeza NYKT02 - KIT 2,Equipamentos de Limpeza / Baldes,CMINYKT02,,product-307,
1490,Kit Profissional Carrinho de Limpeza Completo NYKT03 KIT 3,Equipamentos de Limpeza,CMINYKT03,,product-1821,
1500,Kit Profissional para Limpeza de Vidros,,CMIkt901,,product-1755,
1510,Lâminas 4 cm p/ Raspador de Segurança -10 unidades - LR801,Acessórios,CMILR801,,product-1577,
1520,Lâminas p/ Raspadores 10cm Multiuso - 10 unidades - LR800A,Acessórios,CMILR800A,,product-1725,
1530,Limpador de Vidros,,CMILCXXX,,product-1607,
1540,Lixeira 100 Litros com Pedal e Rodas,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP11,,product-675,
1550,Lixeira 100 Litros com Pedal sem rodas,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP10,,product-319,
1560,Lixeira 100 Lts com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMILPF100,,product-701,
1570,Lixeira 15 litros com pedal em inox ESCOVADO - Marca,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI183,,product-387,
1580,Lixeira 15 Litros com Pedal em plástico,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP15,,product-131,
1590,Lixeira 15 Litros em Aço Inox com Pedal e Recipiente Plástico,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI3585,,product-1295,
1600,Lixeira 23 Litros em plástico redonda sem tampa,Lixeiras e Contentores / Lixeiras Plástico,CMICL51,,product-1311,
1610,Lixeira 30 litros com Pedal em inox ESCOVADO,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI181,,product-389,
1620,Lixeira 30 Lts com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP30,,product-151,
1630,Lixeira 35 Lts com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMILPF35,,product-717,
1640,Lixeira 50 litros + suporte para coleta seletiva DINA,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMIDINAKIT2,,product-1819,
1650,Lixeira 50 Litros com Suporte para Coleta Seletiva LS5P,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMILS5P,,product-1337,
1660,Lixeira 50 Lts com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMILPF50,,product-713,
1670,Lixeira 60 Litros com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP60,,product-303,
1680,Lixeira Aço Inox 15 Litros,Lixeiras e Contentores / Lixeiras Inox,CMIMSP380,,product-1859,
1690,Lixeira Cesto Porta Guarda Chuva 23 Litros COM ADESIVO GUARDA CHUVA,Lixeiras e Contentores / Lixeiras Plástico,CMICL51GUARD,,product-1345,
1700,Lixeira Cesto Quadrado 100 Lts com Tampa Basculante CD11,Lixeiras e Contentores / Lixeiras Plástico,CMICD11,,product-301,
1710,Lixeira Cesto Quadrado 60 Lts c/ Tampa Basculante CV61,Lixeiras e Contentores / Lixeiras Plástico,CMICV61,,product-149,
1720,Lixeira Cinzeiro com Aro de Alumínio CZ51,Lixeiras e Contentores / Cinzeiros e Bituqueiras,CMICZ51,,product-161,
1730,Lixeira Cinzeiro Inox Aro esmaltado preto 25 Litros MSP570,Lixeiras e Contentores / Cinzeiros e Bituqueiras / Lixeiras Inox,CMIMSP570,,product-739,
1740,Lixeira Cinzeiro Inox Aro Inox 25lts MSP555,Lixeiras e Contentores / Cinzeiros e Bituqueiras / Lixeiras Inox,CMIMSP555,,product-1899,
1750,"Lixeira em Aço Inox 10,5L com Pedal e Recipiente Interno",Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI3567,,product-1811,
1760,"Lixeira em Aço Inox com Pedal e Recipiente Plástico - 4,5L",Lixeiras e Contentores / Com Pedal / Lixeiras Inox / Lixeiras Plástico,CMI3505,,product-1293,
1770,Lixeira em plástico 23 Lts c/Tampa Aro Inox,Lixeiras e Contentores / Lixeiras Inox / Lixeiras Plástico,CMICL51PR+MSP363,,product-1369,
1780,Lixeira Inox 25 litros 24Dx50A Aldinox MSP382,Lixeiras e Contentores / Lixeiras Inox,CMIMSP382,,product-1863,
1790,Lixeira Inox 50L com Fundo de Plástico,Lixeiras e Contentores / Lixeiras Inox,CMIMSP388,,product-1869,
1800,Lixeira Inox c/ Tampa Aro - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2177,,product-2177,
